mcc,mnc,iso,country,country code,network
310,894,us,USA,1,Verizon Wireless
311,910,us,USA,1,Verizon Wireless
310,286,us,USA,1,Verizon Wireless
311,480,us,USA,1,Verizon Wireless
311,283,us,USA,1,Verizon Wireless
312,289,us,USA,1,Verizon Wireless
310,597,us,USA,1,Verizon Wireless
311,891,us,USA,1,Verizon Wireless
312,892,us,USA,1,Verizon Wireless
310,277,us,USA,1,Verizon Wireless
312,595,us,USA,1,Verizon Wireless
310,013,us,USA,1,Verizon Wireless
311,274,us,USA,1,Verizon Wireless
312,280,us,USA,1,Verizon Wireless
310,488,us,USA,1,Verizon Wireless
311,594,us,USA,1,Verizon Wireless
312,486,us,USA,1,Verizon Wireless
310,899,us,USA,1,Verizon Wireless
312,271,us,USA,1,Verizon Wireless
310,390,us,USA,1,Verizon Wireless
311,485,us,USA,1,Verizon Wireless
312,482,us,USA,1,Verizon Wireless
310,890,us,USA,1,Verizon Wireless
311,896,us,USA,1,Verizon Wireless
312,897,us,USA,1,Verizon Wireless
310,282,us,USA,1,Verizon Wireless
311,288,us,USA,1,Verizon Wireless
310,273,us,USA,1,Verizon Wireless
311,279,us,USA,1,Verizon Wireless
312,285,us,USA,1,Verizon Wireless
310,593,us,USA,1,Verizon Wireless
311,599,us,USA,1,Verizon Wireless
312,770,us,USA,1,Verizon Wireless
312,591,us,USA,1,Verizon Wireless
312,276,us,USA,1,Verizon Wireless
310,484,us,USA,1,Verizon Wireless
311,590,us,USA,1,Verizon Wireless
310,895,us,USA,1,Verizon Wireless
312,012,us,USA,1,Verizon Wireless
310,287,us,USA,1,Verizon Wireless
311,481,us,USA,1,Verizon Wireless
311,284,us,USA,1,Verizon Wireless
312,350,us,USA,1,Verizon Wireless
310,598,us,USA,1,Verizon Wireless
311,892,us,USA,1,Verizon Wireless
312,893,us,USA,1,Verizon Wireless
310,278,us,USA,1,Verizon Wireless
310,110,us,USA,1,Verizon Wireless
311,275,us,USA,1,Verizon Wireless
312,281,us,USA,1,Verizon Wireless
310,489,us,USA,1,Verizon Wireless
311,595,us,USA,1,Verizon Wireless
312,596,us,USA,1,Verizon Wireless
312,487,us,USA,1,Verizon Wireless
310,910,us,USA,1,Verizon Wireless
312,272,us,USA,1,Verizon Wireless
310,480,us,USA,1,Verizon Wireless
311,486,us,USA,1,Verizon Wireless
312,483,us,USA,1,Verizon Wireless
310,891,us,USA,1,Verizon Wireless
311,897,us,USA,1,Verizon Wireless
312,898,us,USA,1,Verizon Wireless
310,283,us,USA,1,Verizon Wireless
311,289,us,USA,1,Verizon Wireless
310,274,us,USA,1,Verizon Wireless
311,280,us,USA,1,Verizon Wireless
312,286,us,USA,1,Verizon Wireless
310,594,us,USA,1,Verizon Wireless
311,770,us,USA,1,Verizon Wireless
312,820,us,USA,1,Verizon Wireless
312,592,us,USA,1,Verizon Wireless
311,271,us,USA,1,Verizon Wireless
312,277,us,USA,1,Verizon Wireless
310,485,us,USA,1,Verizon Wireless
311,591,us,USA,1,Verizon Wireless
310,896,us,USA,1,Verizon Wireless
312,013,us,USA,1,Verizon Wireless
310,288,us,USA,1,Verizon Wireless
311,482,us,USA,1,Verizon Wireless
311,285,us,USA,1,Verizon Wireless
312,390,us,USA,1,Verizon Wireless
310,599,us,USA,1,Verizon Wireless
311,893,us,USA,1,Verizon Wireless
312,894,us,USA,1,Verizon Wireless
310,279,us,USA,1,Verizon Wireless
311,276,us,USA,1,Verizon Wireless
312,282,us,USA,1,Verizon Wireless
310,590,us,USA,1,Verizon Wireless
311,596,us,USA,1,Verizon Wireless
312,597,us,USA,1,Verizon Wireless
312,488,us,USA,1,Verizon Wireless
311,012,us,USA,1,Verizon Wireless
312,273,us,USA,1,Verizon Wireless
310,481,us,USA,1,Verizon Wireless
311,487,us,USA,1,Verizon Wireless
310,892,us,USA,1,Verizon Wireless
311,898,us,USA,1,Verizon Wireless
312,899,us,USA,1,Verizon Wireless
310,284,us,USA,1,Verizon Wireless
311,350,us,USA,1,Verizon Wireless
312,484,us,USA,1,Verizon Wireless
310,275,us,USA,1,Verizon Wireless
311,281,us,USA,1,Verizon Wireless
312,287,us,USA,1,Verizon Wireless
310,595,us,USA,1,Verizon Wireless
311,820,us,USA,1,Verizon Wireless
312,890,us,USA,1,Verizon Wireless
312,593,us,USA,1,Verizon Wireless
311,272,us,USA,1,Verizon Wireless
312,278,us,USA,1,Verizon Wireless
310,486,us,USA,1,Verizon Wireless
311,592,us,USA,1,Verizon Wireless
