lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.836197,-119.662399,310,120,19203,157303812,,1000,1,1,LTE,,,19203,,,
36.836471557617,-119.66377258301,310,410,56888,1533451,,1000,1,1,UMTS,,,,,,
36.836472,-119.655075,311,480,8960,9096706,,1000,1,1,LTE,,,8960,,,
36.837311,-119.664459,311,480,8960,9136910,,1000,1,1,LTE,,,8960,,,
36.837616,-119.659424,311,480,8960,85865238,,1157,1,1,LTE,,,8960,,,
36.837844848633,-119.66377258301,310,410,35596,172099857,,1000,1,1,UMTS,,,,,,
36.837844848633,-119.65690612793,310,410,35636,3692675,,1000,1,1,LTE,,,35636,,,
36.838446,-119.660073,310,410,35636,172100013,,1000,1,1,LTE,,,35636,,,
36.838762,-119.662633,310,410,35636,172099864,,1000,1,1,LTE,,,35636,,,
36.838814,-119.663872,311,480,8960,9096742,,1000,1,1,LTE,,,8960,,,
36.839218,-119.661713,310,120,19201,158628099,,1000,1,1,LTE,,,19201,,,
36.839218139648,-119.66239929199,310,120,19201,157303824,,1000,1,1,LTE,,,19201,,,
36.839218139648,-119.66239929199,310,120,19201,158628102,,1000,1,1,LTE,,,19201,,,
36.839218139648,-119.66102600098,310,410,56874,3709720,,1000,1,1,UMTS,,,,,,
36.839218139648,-119.66102600098,310,410,56874,3709723,,1000,1,1,UMTS,,,,,,
36.839218139648,-119.66102600098,310,410,56874,3692817,,1000,1,1,UMTS,,,,,,
36.839411,-119.6595,310,410,35636,172536444,,1000,1,1,LTE,,,35636,,,
36.8395,-119.659348,310,410,35636,173508375,,1000,1,1,LTE,,,35636,,,
36.839733,-119.665146,310,410,56874,3696139,,1000,1,1,UMTS,,,,,,
36.842937,-119.655643,310,260,12320,23886085,,1000,1,1,LTE,,,12320,,,
36.843338012695,-119.66514587402,310,260,15798,12926,,1000,1,1,GSM,,,,,,
